,Abia,Adamawa,Akwa Ibom,Anambra,Bauchi,Bayelsa,Benue,Borno,Cross River,Delta,Ebonyi,Edo,Ekiti,Enugu,FCT,Gombe,Imo,Jigawa,Kaduna,Kano,Katsina,Kebbi,Kogi,Kwara,Lagos,Nasarawa,Niger,Ogun,Ondo,Osun,Oyo,Plateau,Rivers,Sokoto,Taraba,Yobe,Zamfara
2020-06-05 22:42:27+00:00,0,0,0,0,25,0,0,0,0,0,0,13,0,6,70,14,0,8,15,5,0,0,0,0,121,0,a,13,2,2,16,0,18,0,0,0,0
2020-06-04 22:43:49+00:00,0,0,0,0,10,9,0,26,0,10,17,10,0,0,29,1,8,0,23,10,14,0,0,,102,2,a,34,3,0,1,4,21,0,0,0,0
2020-06-03 22:54:55+00:00,0,0,0,1,5,0,4,0,0,8,23,5,5,6,76,5,0,0,0,0,0,0,1,0,163,8,8,2,5,1,0,1,21,0,0,0,0
2020-06-02 22:47:47+00:00,0,0,0,0,1,0,0,8,0,10,0,11,0,0,13,3,0,4,,12,0,0,0,0,142,0,a,0,0,1,15,3,9,0,0,0,0
2020-06-01 22:52:10+00:00,5,4,0,0,2,0,2,17,0,5,0,41,0,0,14,0,3,0,30,4,7,0,0,23,192,18,1,2,3,0,10,0,33,0,0,0,0
2020-05-31 22:26:37+00:00,0,0,0,0,2,9,0,0,0,3,0,0,0,0,44,5,2,0,14,3,0,0,0,1,188,0,2,19,0,0,12,1,2,0,0,0,0
2020-05-30 22:55:54+00:00,0,0,0,0,0,0,0,7,0,23,0,22,0,0,52,0,0,5,12,9,6,0,0,0,378,0,a,13,0,1,5,3,14,0,0,3,0
2020-05-29 22:46:01+00:00,0,0,0,0,2,0,0,6,0,0,0,22,0,0,29,2,0,24,11,3,0,0,0,0,254,0,a,0,1,0,15,2,14,0,0,2,0
2020-05-28 22:27:18+00:00,0,0,10,0,1,0,0,1,0,6,4,0,0,0,16,2,0,0,6,3,0,1,0,2,111,0,a,4,0,0,8,2,5,0,0,0,0
2020-05-27 22:44:12+00:00,2,11,11,1,0,0,2,1,0,2,0,22,0,0,0,2,1,0,7,13,23,0,2,6,256,6,2,1,0,0,2,2,14,0,0,0,0
2020-05-26 22:30:43+00:00,1,0,0,0,1,0,0,1,0,3,3,27,0,0,0,2,0,0,19,4,0,0,0,0,161,10,a,1,1,0,6,0,36,0,0,0,0
2020-05-25 22:34:33+00:00,0,0,0,1,0,1,0,5,0,7,0,0,0,0,14,3,26,0,0,23,27,0,0,0,90,0,a,9,0,2,4,12,5,0,0,0,0
2020-05-24 22:10:08+00:00,0,0,,,0,,0,0,0,,,,0,0,,0,0,0,,,0,0,0,,,,,,0,0,,,,0,0,0,0
2020-05-23 22:51:25+00:00,0,0,0,,,0,0,,0,0,0,,0,,,0,0,0,,0,0,0,0,,,0,,,0,0,,,0,0,0,0,0
2020-05-22 22:35:01+00:00,0,0,,,,,0,,0,0,,0,0,0,,,0,,,,,0,0,,,0,,,,0,,,,,0,,0
2020-05-21 22:48:23+00:00,0,,0,0,,0,0,0,0,,0,,0,0,,,0,,,,,0,0,0,,,a,,,0,,,,0,0,,0
2020-05-20 22:20:41+00:00,,0,0,0,0,0,0,,0,,0,0,,0,,0,0,,0,,0,0,0,,,0,a,0,0,0,,,,0,,0,0
2020-05-19 22:39:07+00:00,0,,0,0,,,0,,0,0,,,0,,,,0,,,0,0,0,0,0,,,a,,0,0,,,0,0,0,0,0
